Kelas Hotel Bintang,,,,,,,,,,,,,
,Rata-Rata Lama Menginap Tamu Asing dan Domestik pada Hotel Bintang Menurut Kelas dan Bulan di Provinsi Bali (Hari),,,,,,,,,,,,
,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bintang 5,2.46,2.96,2.72,2.86,2.79,2.77,3.08,3.1,2.88,2.87,2.92,2.85,-
Bintang 4,2.46,2.47,2.55,2.65,2.58,2.51,2.48,2.4,2.44,2.52,2.48,2.47,-
Bintang 3,2.2,2.27,2.18,2.44,1.96,2.19,2.27,2.21,2.24,2.22,2.24,2.31,-
Bintang 2,2.23,1.99,2.25,2.01,1.84,1.82,2.13,2.16,2.11,2.16,1.78,1.96,-
Bintang 1,1.66,1.53,1.73,1.66,1.79,1.77,2.02,1.88,1.99,1.82,1.98,1.74,-
Seluruh Kelas,2.36,2.42,2.42,2.55,2.39,2.45,2.57,2.55,2.51,2.53,2.48,2.49,-
