Kabupaten/Kota,,,,,,,,,,,,,
,Jumlah Perjalanan Wisatawan Nusantara Menurut Kabupaten/Kota Tujuan (Perjalanan),,,,,,,,,,,,
,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kab. Jembrana,58706,48733,68703,60133,73367,78724,73816,64130,67888,68863,61106,103877,828046
Kab. Tabanan,77645,60627,81241,65863,103725,93237,90365,74712,78261,76000,76685,113503,991864
Kab. Badung,317167,203581,322912,283151,480742,477519,419536,364591,358106,398351,377934,628402,4631992
Kab. Gianyar,94129,74219,105190,89082,117852,115608,113907,105754,98146,101159,101361,155592,1271999
Kab. Klungkung,50966,44703,75745,63481,71253,87117,64230,70547,61606,61203,49947,63456,764254
Kab. Bangli,64735,53131,109015,76189,85009,76207,76553,72820,75645,69787,70672,92501,922264
Kab. Karangasem,95750,67433,179434,129477,99990,101597,108801,113370,103122,102779,98215,119371,1319339
Kab. Buleleng,110011,92146,137692,113418,148363,146358,138203,119263,125942,129433,122357,162345,1545531
Kota Denpasar,122534,101453,136648,135110,188465,197999,203033,166903,157011,164866,160453,249950,1984425
Provinsi Bali,991643,746026,1216580,1015904,1368766,1374366,1288444,1152090,1125727,1172441,1118730,1688997,14259714
