Kabupaten/Kota,,,,,,,,,,,,,
,Jumlah Perjalanan Wisatawan Nusantara Menurut Kabupaten/Kota Tujuan (Perjalanan),,,,,,,,,,,,
,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kab. Jembrana,106249,71574,71884,82318,88195,105507,104866,92477,78054,84577,79194,73476,1038371
Kab. Tabanan,116359,81594,85970,102470,114885,139060,116597,120784,114896,116805,113220,174777,1397417
Kab. Badung,645498,472495,449361,417855,560738,686304,613022,474715,514808,591582,540667,639762,6606807
Kab. Gianyar,164541,113038,116872,135610,139479,170992,148847,148592,145830,140330,134214,200796,1759141
Kab. Klungkung,83472,54365,55931,78240,84001,101165,102685,105667,92792,93698,92015,93402,1037433
Kab. Bangli,109985,76537,77243,169873,101167,152070,149765,147192,136002,138640,133990,94423,1486887
Kab. Karangasem,142746,78976,90402,279421,121184,184003,201417,178559,166098,170961,157684,145281,1916732
Kab. Buleleng,195260,123858,130559,148705,153839,208691,195750,207345,167301,176861,170719,185093,2063981
Kota Denpasar,266772,211632,200244,201995,255795,342535,322564,275708,331770,361006,355902,400811,3526734
Provinsi Bali,1830882,1284069,1278466,1616487,1619283,2090327,1955513,1751039,1747551,1874460,1777605,2007821,20833503
