Kelas Hotel Bintang,,,,,,,,,,,,,
,Rata-Rata Lama Menginap Tamu Asing dan Domestik pada Hotel Bintang Menurut Kelas dan Bulan di Provinsi Bali (Hari),,,,,,,,,,,,
,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bintang 5,2.91,3.02,2.41,2.77,2.17,2.05,1.98,2.02,1.98,1.94,1.96,2.18,2.09
Bintang 4,3.85,2.43,2.09,2.01,2.02,1.76,1.96,1.8,1.73,1.96,1.75,1.96,1.98
Bintang 3,3.82,2.98,1.97,1.88,1.88,1.72,1.8,1.93,1.88,1.81,1.78,1.84,1.94
Bintang 2,3,2.14,1.86,1.69,1.78,1.93,1.9,1.98,1.47,1.71,1.76,1.67,1.86
Bintang 1,-,1.65,1.09,1.38,1.46,1.7,3.16,1.95,1.33,8.87,3.94,2.13,1.66
Seluruh Kelas,3.5,2.67,2.11,2.15,2.02,1.88,1.92,1.91,1.83,1.92,1.84,2.03,2.01
