Pintu Masuk Wisman,,,,,,,,,,,,,
,Banyaknya Wisatawan Mancanegara Bulanan ke Bali Menurut Pintu Masuk (Orang),,,,,,,,,,,,
,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bandara Ngurah Rai,2,12,3,9,8,1,-,-,-,2,6,-,43
Pelabuhan Laut,8,-,-,-,-,-,-,-,-,-,-,-,8
Jumlah,10,12,3,9,8,1,-,-,-,2,6,-,51
